route,distance,store,client
"['store', '15', 'client']",[17.703917565199575],"(40.41101822870703, -79.91054922095948)","(40.49726697721288, -79.74814713228722)"
"['store', '14', 'client']",[14.973080267493149],"(40.41101822870703, -79.91054922095948)","(40.48586619090732, -80.04242947862161)"
"['store', 'client']",[1.1005069847355033],"(40.41101822870703, -79.91054922095948)","(40.4191148078632, -79.90307156359519)"
"['store', 'client']",[2.236708972566872],"(40.41101822870703, -79.91054922095948)","(40.39103670539903, -79.91387714269888)"
"['store', 'client']",[5.685045590168016],"(40.41101822870703, -79.91054922095948)","(40.41967922058485, -79.84453263182235)"
"['store', '6', 'client']",[10.425749530767948],"(40.41101822870703, -79.91054922095948)","(40.4755249037388, -79.99775548977469)"
"['store', 'client']",[5.647001770017308],"(40.41101822870703, -79.91054922095948)","(40.4606967048104, -79.92477742374798)"
"['store', 'client']",[6.769169283111998],"(40.41101822870703, -79.91054922095948)","(40.471489406157744, -79.90046726668321)"
"['store', '15', 'client']",[15.502102547571306],"(40.41101822870703, -79.91054922095948)","(40.461713915802, -79.77095478176292)"
"['store', 'client']",[7.172010302355717],"(40.41101822870703, -79.91054922095948)","(40.44170409555336, -79.98491687726452)"
"['store', 'client']",[7.8815494319609245],"(40.41101822870703, -79.91054922095948)","(40.42347859118289, -80.00197117512776)"
"['store', 'client']",[6.9456480128927405],"(40.41101822870703, -79.91054922095948)","(40.47284060536888, -79.92299239542834)"
"['store', '11', '12', '18', '16', 'client']",[35.37083444586051],"(40.41101822870703, -79.91054922095948)","(40.43682813677578, -79.74332833622113)"
"['store', '6', '39', 'client']",[22.540946036861243],"(40.41101822870703, -79.91054922095948)","(40.56749800771876, -80.07219887978374)"
"['store', '56', 'client']",[11.925440045793316],"(40.41101822870703, -79.91054922095948)","(40.3932022485636, -80.04618875350019)"
"['store', 'client']",[3.298649660927405],"(40.41101822870703, -79.91054922095948)","(40.43779970866353, -79.89373081217529)"
"['store', '11', 'client']",[12.47972683147599],"(40.41101822870703, -79.91054922095948)","(40.35883471379963, -80.03401000441781)"
"['store', 'client']",[8.757832374490418],"(40.41101822870703, -79.91054922095948)","(40.34536037960422, -79.96768761635983)"
"['store', 'client']",[3.1028174309448007],"(40.41101822870703, -79.91054922095948)","(40.43832790487919, -79.91828675881713)"
"['store', 'client']",[7.090996120125652],"(40.41101822870703, -79.91054922095948)","(40.4504443986985, -79.97628633520043)"
"['store', 'client']",[6.801511594399007],"(40.41101822870703, -79.91054922095948)","(40.47224730570308, -79.91269778236538)"
"['store', 'client']",[3.1028174309448007],"(40.41101822870703, -79.91054922095948)","(40.43832790487919, -79.91828675881713)"
"['store', 'client']",[5.072904140860083],"(40.41101822870703, -79.91054922095948)","(40.45640080529436, -79.91740742077545)"
"['store', '14', 'client']",[14.456650467949398],"(40.41101822870703, -79.91054922095948)","(40.46016841794787, -80.06422775681261)"
"['store', 'client']",[9.41004403086162],"(40.41101822870703, -79.91054922095948)","(40.476032104230704, -79.98169266674974)"
"['store', 'client']",[4.800921656167952],"(40.41101822870703, -79.91054922095948)","(40.43404079807057, -79.95843274792294)"
"['store', '14', 'client']",[15.028104562681992],"(40.41101822870703, -79.91054922095948)","(40.46035913228828, -80.0719041937339)"
"['store', 'client']",[9.60198952475583],"(40.41101822870703, -79.91054922095948)","(40.412666122724, -80.02365480358375)"
"['store', '33', '58', '1', 'client']",[29.939025588702403],"(40.41101822870703, -79.91054922095948)","(40.61434468751796, -79.73909268885285)"
"['store', '56', '23', 'client']",[17.756085705084367],"(40.41101822870703, -79.91054922095948)","(40.39077721679054, -80.09254404548035)"
"['store', '6', 'client']",[10.848271701171873],"(40.41101822870703, -79.91054922095948)","(40.504132105579465, -79.937112668127)"
"['store', '11', '12', 'client']",[21.549320234107558],"(40.41101822870703, -79.91054922095948)","(40.31788565389848, -79.82872455627482)"
"['store', 'client']",[4.107377200809476],"(40.41101822870703, -79.91054922095948)","(40.44689800743379, -79.89878390641873)"
"['store', '33', '58', '1', '43', 'client']",[34.50287654736481],"(40.41101822870703, -79.91054922095948)","(40.642308894851325, -79.7091429954295)"
"['store', '56', 'client']",[12.669178751985726],"(40.41101822870703, -79.91054922095948)","(40.36984353042561, -80.04218120290585)"
"['store', '11', 'client']",[13.87954259227821],"(40.41101822870703, -79.91054922095948)","(40.32437709080062, -80.02832958668904)"
"['store', '56', '23', '5', '17', '57', '54', '48', 'client']",[55.069124218493556],"(40.41101822870703, -79.91054922095948)","(40.54804362141074, -80.18472451288527)"
"['store', 'client']",[9.877774375474571],"(40.41101822870703, -79.91054922095948)","(40.365475184681934, -80.01048059853463)"
"['store', 'client']",[6.537133407187697],"(40.41101822870703, -79.91054922095948)","(40.46429840380601, -79.94331864421731)"
"['store', '6', 'client']",[10.54197960402971],"(40.41101822870703, -79.91054922095948)","(40.47598370384712, -79.99902578994984)"
"['store', '6', '39', 'client']",[20.750831119328513],"(40.41101822870703, -79.91054922095948)","(40.503114365743045, -80.07650713008972)"
"['store', '56', '23', 'client']",[12.937684002728616],"(40.41101822870703, -79.91054922095948)","(40.364792627191896, -80.04172651541033)"
"['store', 'client']",[6.793912240407363],"(40.41101822870703, -79.91054922095948)","(40.365742484838535, -79.96436754863291)"
"['store', '11', 'client']",[11.086531248848614],"(40.41101822870703, -79.91054922095948)","(40.361484493382605, -80.01797073850507)"
"['store', 'client']",[4.811509289025949],"(40.41101822870703, -79.91054922095948)","(40.451093603621146, -79.93211055687695)"
"['store', '56', '23', 'client']",[17.45500377416826],"(40.41101822870703, -79.91054922095948)","(40.38863631133294, -80.0899892399882)"
"['store', 'client']",[2.358766084086647],"(40.41101822870703, -79.91054922095948)","(40.3966585125076, -79.89007336974205)"
"['store', 'client']",[5.248428336246477],"(40.41101822870703, -79.91054922095948)","(40.45700210465154, -79.92485213173623)"
"['store', 'client']",[3.2512243002054815],"(40.41101822870703, -79.91054922095948)","(40.43829270393206, -79.92448117087494)"
"['store', '11', '0', '30', 'client']",[25.95574181072712],"(40.41101822870703, -79.91054922095948)","(40.20586108709016, -79.91185904257438)"
"['store', 'client']",[5.538377097819852],"(40.41101822870703, -79.91054922095948)","(40.46034650660922, -79.90090258674711)"
"['store', 'client']",[6.17950317283683],"(40.41101822870703, -79.91054922095948)","(40.46293560409993, -79.9367720374463)"
"['store', 'client']",[3.4674827796638747],"(40.41101822870703, -79.91054922095948)","(40.439062208752105, -79.89257770789946)"
"['store', '11', '12', 'client']",[21.289552002658485],"(40.41101822870703, -79.91054922095948)","(40.33364544387571, -79.83915648473317)"
"['store', 'client']",[2.481605922809591],"(40.41101822870703, -79.91054922095948)","(40.419105912207954, -79.88329251924536)"
"['store', 'client']",[2.848618375887775],"(40.41101822870703, -79.91054922095948)","(40.38729880226268, -79.92333077603537)"
"['store', '56', 'client']",[12.110869228105784],"(40.41101822870703, -79.91054922095948)","(40.38368334037901, -80.04409207153752)"
"['store', 'client']",[5.52328939041375],"(40.41101822870703, -79.91054922095948)","(40.45960330697812, -79.89660258119494)"
"['store', 'client']",[6.655405801473833],"(40.41101822870703, -79.91054922095948)","(40.44245129679056, -79.97732626077078)"
"['store', '6', 'client']",[11.811186453443279],"(40.41101822870703, -79.91054922095948)","(40.49377890912255, -79.9974956292535)"
"['store', 'client']",[4.124388737503849],"(40.41101822870703, -79.91054922095948)","(40.44728920471458, -79.92101524555713)"
"['store', 'client']",[6.324400551791628],"(40.41101822870703, -79.91054922095948)","(40.45248790066314, -79.96163800415262)"
"['store', '14', 'client']",[13.866689418282558],"(40.41101822870703, -79.91054922095948)","(40.45208440918741, -80.06219656757007)"
"['store', '11', 'client']",[14.096348118300401],"(40.41101822870703, -79.91054922095948)","(40.326684399080094, -80.03449739949511)"
"['store', '56', 'client']",[10.419963388585272],"(40.41101822870703, -79.91054922095948)","(40.3882111143098, -80.0249559830652)"
"['store', 'client']",[9.691958589581466],"(40.41101822870703, -79.91054922095948)","(40.40398452014976, -80.02435663289039)"
"['store', '6', '39', 'client']",[21.32262802065882],"(40.41101822870703, -79.91054922095948)","(40.56670507767103, -80.05368190542536)"
"['store', 'client']",[6.671239816648929],"(40.41101822870703, -79.91054922095948)","(40.46876430479493, -79.93224331736613)"
"['store', '6', 'client']",[11.536660884193115],"(40.41101822870703, -79.91054922095948)","(40.49419490900518, -79.99178242195396)"
"['store', 'client']",[6.710100686783487],"(40.41101822870703, -79.91054922095948)","(40.3703698294034, -79.85207119609395)"
"['store', '56', '23', '5', '17', '57', '54', '48', 'client']",[56.698377469055146],"(40.41101822870703, -79.91054922095948)","(40.50870452011669, -80.15584805546722)"
"['store', '56', '23', 'client']",[20.47546520978503],"(40.41101822870703, -79.91054922095948)","(40.323364987287775, -80.1120147532665)"
"['store', '33', 'client']",[13.547285098408926],"(40.41101822870703, -79.91054922095948)","(40.51754709222217, -79.83351801489248)"
"['store', '14', '10', 'client']",[20.6795926838001],"(40.41101822870703, -79.91054922095948)","(40.43611675451952, -80.15192961822224)"
"['store', 'client']",[6.71499504726991],"(40.41101822870703, -79.91054922095948)","(40.37892458244679, -79.97758465036145)"
"['store', '56', '23', '5', 'client']",[29.35764610601192],"(40.41101822870703, -79.91054922095948)","(40.40234008153265, -80.19251883453029)"
"['store', 'client']",[6.583709850745995],"(40.41101822870703, -79.91054922095948)","(40.445482297936245, -79.97368034512637)"
"['store', 'client']",[6.467792001376743],"(40.41101822870703, -79.91054922095948)","(40.46105750300428, -79.94956256188259)"
"['store', '11', 'client']",[10.79605115311189],"(40.41101822870703, -79.91054922095948)","(40.34098746368969, -79.99834833590684)"
"['store', 'client']",[4.6391346712029655],"(40.41101822870703, -79.91054922095948)","(40.44233721104532, -79.87436826856566)"
"['store', 'client']",[7.8868576682906],"(40.41101822870703, -79.91054922095948)","(40.36887367713064, -79.9853185038653)"
"['store', '33', 'client']",[16.209983752800298],"(40.41101822870703, -79.91054922095948)","(40.545367684815936, -79.89259798020954)"
"['store', '56', '23', '5', '17', '57', '54', '48', 'client']",[56.07144794299584],"(40.41101822870703, -79.91054922095948)","(40.57349982952425, -80.21238752173977)"
"['store', 'client']",[1.204109460223717],"(40.41101822870703, -79.91054922095948)","(40.41888420837537, -79.9007839588664)"
"['store', 'client']",[4.655589837325424],"(40.41101822870703, -79.91054922095948)","(40.45291190615816, -79.9083942124651)"
"['store', '11', 'client']",[11.290086582665817],"(40.41101822870703, -79.91054922095948)","(40.33326896392461, -79.99346774378348)"
"['store', '11', 'client']",[11.972222752074034],"(40.41101822870703, -79.91054922095948)","(40.339552282243964, -80.01596420000018)"
"['store', '56', '23', 'client']",[14.017406651708368],"(40.41101822870703, -79.91054922095948)","(40.36588504680542, -80.05559386342931)"
"['store', '56', 'client']",[10.93006357910639],"(40.41101822870703, -79.91054922095948)","(40.39720523430047, -80.03547809878911)"
"['store', '56', 'client']",[10.32357121510754],"(40.41101822870703, -79.91054922095948)","(40.45714272223463, -80.01313781759434)"
"['store', 'client']",[6.553187133092325],"(40.41101822870703, -79.91054922095948)","(40.45665921025488, -79.86158882870168)"
"['store', 'client']",[3.260926254306766],"(40.41101822870703, -79.91054922095948)","(40.43997080510216, -79.91697735299194)"
"['store', 'client']",[7.904451343816425],"(40.41101822870703, -79.91054922095948)","(40.45239779808687, -79.9863471466163)"
"['store', 'client']",[9.562900039051405],"(40.41101822870703, -79.91054922095948)","(40.33727147754975, -79.96870104275844)"
"['store', 'client']",[3.980513873088209],"(40.41101822870703, -79.91054922095948)","(40.4437477085748, -79.89141729820176)"
"['store', '11', '12', 'client']",[18.00199455679744],"(40.41101822870703, -79.91054922095948)","(40.2969235272596, -79.87953218220282)"
"['store', 'client']",[7.744962891095218],"(40.41101822870703, -79.91054922095948)","(40.47896120549236, -79.93117999307044)"
"['store', 'client']",[6.830387276614307],"(40.41101822870703, -79.91054922095948)","(40.4704184049382, -79.93145911253309)"
"['store', '6', '39', 'client']",[13.638411898096782],"(40.41101822870703, -79.91054922095948)","(40.51536640536765, -79.99207196867422)"
"['store', 'client']",[6.342874377880481],"(40.41101822870703, -79.91054922095948)","(40.46499630437661, -79.93500452999955)"
"['store', '15', 'client']",[18.189248185538357],"(40.41101822870703, -79.91054922095948)","(40.409816740678345, -79.77413077170132)"
"['store', '14', 'client']",[14.784447545343411],"(40.41101822870703, -79.91054922095948)","(40.45341293036482, -80.07339771777569)"
"['store', '6', 'client']",[12.54994655316353],"(40.41101822870703, -79.91054922095948)","(40.51475150372204, -79.96754584118223)"
"['store', '56', 'client']",[10.406290595684668],"(40.41101822870703, -79.91054922095948)","(40.45827402279584, -80.01321531438208)"
"['store', 'client']",[5.643598644077038],"(40.41101822870703, -79.91054922095948)","(40.41549279086925, -79.97678263965881)"
"['store', 'client']",[3.150306533798297],"(40.41101822870703, -79.91054922095948)","(40.43720070830843, -79.89625451807983)"
"['store', '33', '58', '1', 'client']",[26.958340472485226],"(40.41101822870703, -79.91054922095948)","(40.6271304327496, -79.7986909419263)"
"['store', 'client']",[5.903934608942576],"(40.41101822870703, -79.91054922095948)","(40.46154840431328, -79.93219423351763)"
"['store', 'client']",[7.33075825189577],"(40.41101822870703, -79.91054922095948)","(40.41987328764338, -79.99614086985851)"
"['store', 'client']",[4.972754796428998],"(40.41101822870703, -79.91054922095948)","(40.453036303881774, -79.93081985031996)"
"['store', '11', '12', 'client']",[23.11160613083846],"(40.41101822870703, -79.91054922095948)","(40.26866286674045, -79.8308798952147)"
"['store', 'client']",[2.935320102424608],"(40.41101822870703, -79.91054922095948)","(40.43090221019163, -79.88775881115833)"
"['store', 'client']",[4.600917667765963],"(40.41101822870703, -79.91054922095948)","(40.43583929907731, -79.95395973429036)"
"['store', 'client']",[6.51554444833565],"(40.41101822870703, -79.91054922095948)","(40.364077425621936, -79.86450744102807)"
"['store', '56', 'client']",[11.86414216740887],"(40.41101822870703, -79.91054922095948)","(40.44752226912753, -80.04136328107664)"
"['store', '11', 'client']",[16.37389656508722],"(40.41101822870703, -79.91054922095948)","(40.29585207814635, -80.02842057195845)"
"['store', '6', 'client']",[12.28938009368527],"(40.41101822870703, -79.91054922095948)","(40.48602103642337, -80.01490663519854)"
"['store', 'client']",[3.9048819461699638],"(40.41101822870703, -79.91054922095948)","(40.42467211466528, -79.86814937848743)"
"['store', 'client']",[9.786617779042103],"(40.41101822870703, -79.91054922095948)","(40.32449261905083, -79.88863227776393)"
"['store', '11', '12', '18', '16', 'client']",[30.72771541942197],"(40.41101822870703, -79.91054922095948)","(40.40174004457389, -79.77417046946492)"
"['store', '56', '23', 'client']",[17.810530995034906],"(40.41101822870703, -79.91054922095948)","(40.350881291024045, -80.09642914574144)"
"['store', 'client']",[6.329844882352215],"(40.41101822870703, -79.91054922095948)","(40.36314402346803, -79.87008195962426)"
"['store', '6', '39', 'client']",[16.131121982929628],"(40.41101822870703, -79.91054922095948)","(40.54139069481045, -79.97540545981259)"
"['store', 'client']",[6.367738827612346],"(40.41101822870703, -79.91054922095948)","(40.446489113317455, -79.85158672199985)"
"['store', 'client']",[8.343687607086016],"(40.41101822870703, -79.91054922095948)","(40.39379288831871, -80.0062193905857)"
"['store', '14', '10', 'client']",[16.31111873908839],"(40.41101822870703, -79.91054922095948)","(40.426849959936256, -80.10163030754963)"
"['store', '56', '23', 'client']",[20.588494808431886],"(40.41101822870703, -79.91054922095948)","(40.30540474656063, -80.0885124191798)"
"['store', 'client']",[6.694100864885073],"(40.41101822870703, -79.91054922095948)","(40.3721708297158, -79.8502589889312)"
"['store', 'client']",[7.505418345745443],"(40.41101822870703, -79.91054922095948)","(40.42273468816204, -79.99764236376875)"
"['store', '56', 'client']",[11.48892189642856],"(40.41101822870703, -79.91054922095948)","(40.38786143412748, -80.03840093737307)"
"['store', '56', 'client']",[11.691848841292078],"(40.41101822870703, -79.91054922095948)","(40.389974540503566, -80.04196004553398)"
"['store', '11', '12', 'client']",[19.256248049006004],"(40.41101822870703, -79.91054922095948)","(40.30932834057402, -79.85502266663244)"
"['store', '6', 'client']",[12.111404285539686],"(40.41101822870703, -79.91054922095948)","(40.5156779003752, -79.92820760490163)"
"['store', '15', 'client']",[18.37199681126922],"(40.41101822870703, -79.91054922095948)","(40.54450997387746, -79.78255944970304)"
"['store', 'client']",[6.895687272452246],"(40.41101822870703, -79.91054922095948)","(40.45882360167453, -79.96242018817006)"
"['store', '56', '23', 'client']",[15.662112524339136],"(40.41101822870703, -79.91054922095948)","(40.37009357644487, -80.07507392513008)"
"['store', 'client']",[9.07650092052072],"(40.41101822870703, -79.91054922095948)","(40.34653927578813, -79.97623984218376)"
"['store', 'client']",[4.080593084277406],"(40.41101822870703, -79.91054922095948)","(40.44773950576248, -79.91237932922431)"
"['store', 'client']",[8.51638774812911],"(40.41101822870703, -79.91054922095948)","(40.378897939326656, -79.81945919368967)"
"['store', 'client']",[8.175118298954974],"(40.41101822870703, -79.91054922095948)","(40.48180100566579, -79.93704839398924)"
"['store', '14', '10', 'client']",[16.560440370288337],"(40.41101822870703, -79.91054922095948)","(40.40537072148329, -80.08836539630305)"
"['store', '14', 'client']",[14.994094058287907],"(40.41101822870703, -79.91054922095948)","(40.40124031355255, -80.08525609265605)"
"['store', 'client']",[4.278797311294318],"(40.41101822870703, -79.91054922095948)","(40.44516620299349, -79.93390987347793)"
"['store', '11', '12', 'client']",[17.855683955307562],"(40.41101822870703, -79.91054922095948)","(40.29660112426117, -79.88422810242335)"
"['store', 'client']",[8.355357647049424],"(40.41101822870703, -79.91054922095948)","(40.34530362968936, -79.86262255637385)"
"['store', 'client']",[1.5429164024386222],"(40.41101822870703, -79.91054922095948)","(40.42096080891278, -79.89785024875184)"
"['store', 'client']",[8.153596021969227],"(40.41101822870703, -79.91054922095948)","(40.4737102042948, -79.96058224496774)"
"['store', 'client']",[0.4178766696588434],"(40.41101822870703, -79.91054922095948)","(40.40912620738713, -79.9062935891247)"
"['store', '6', 'client']",[11.777440516086738],"(40.41101822870703, -79.91054922095948)","(40.51204470103452, -79.91736787976758)"
"['store', 'client']",[8.763989547065389],"(40.41101822870703, -79.91054922095948)","(40.48557520526054, -79.87666061419345)"
"['store', '56', '23', '5', '17', 'client']",[38.251069466476636],"(40.41101822870703, -79.91054922095948)","(40.44696743367008, -80.24579004427896)"
"['store', 'client']",[1.6949178122246955],"(40.41101822870703, -79.91054922095948)","(40.396309504815854, -79.91588423763181)"
"['store', '56', 'client']",[11.925843150374728],"(40.41101822870703, -79.91054922095948)","(40.38647234055248, -80.04321556032204)"
"['store', 'client']",[9.557921627321491],"(40.41101822870703, -79.91054922095948)","(40.34206863974768, -79.8431768923672)"
"['store', '56', '23', 'client']",[19.157763271431385],"(40.41101822870703, -79.91054922095948)","(40.340741397368525, -80.10796160611781)"
"['store', '6', 'client']",[11.762554300390713],"(40.41101822870703, -79.91054922095948)","(40.476078835679175, -80.01647097443983)"
"['store', 'client']",[4.9696973554668045],"(40.41101822870703, -79.91054922095948)","(40.45240760363424, -79.93283095515537)"
"['store', '15', 'client']",[15.434703891329036],"(40.41101822870703, -79.91054922095948)","(40.44046842460579, -79.78271459687879)"
"['store', '14', 'client']",[13.91583766953196],"(40.41101822870703, -79.91054922095948)","(40.3889906788079, -80.06799285177433)"
"['store', 'client']",[7.329508059470434],"(40.41101822870703, -79.91054922095948)","(40.42761919026979, -79.99413554026889)"
"['store', '6', '39', 'client']",[18.51849588488883],"(40.41101822870703, -79.91054922095948)","(40.49476080499312, -80.04710467849299)"
"['store', 'client']",[0.8643491019021998],"(40.41101822870703, -79.91054922095948)","(40.40723930864368, -79.90164678127391)"
"['store', 'client']",[4.662134770508506],"(40.41101822870703, -79.91054922095948)","(40.43857899976741, -79.95199282337678)"
"['store', 'client']",[2.004249725868079],"(40.41101822870703, -79.91054922095948)","(40.42636850374612, -79.9229718929965)"
"['store', 'client']",[7.7411760816104005],"(40.41101822870703, -79.91054922095948)","(40.465767809054, -79.85406810731244)"
"['store', 'client']",[7.8074340388329375],"(40.41101822870703, -79.91054922095948)","(40.34073780554589, -79.91324803878575)"
"['store', 'client']",[8.401659945947706],"(40.41101822870703, -79.91054922095948)","(40.363942774777215, -79.98801352758764)"
"['store', '11', '12', '52', 'client']",[29.15813149536811],"(40.41101822870703, -79.91054922095948)","(40.22848362719274, -79.79503705658384)"
"['store', 'client']",[5.295919434171072],"(40.41101822870703, -79.91054922095948)","(40.4580252067821, -79.90000468934663)"
"['store', '56', '23', 'client']",[17.55682635351195],"(40.41101822870703, -79.91054922095948)","(40.39013241298839, -80.09033633807427)"
"['store', 'client']",[7.682170564544375],"(40.41101822870703, -79.91054922095948)","(40.4687172034696, -79.96050635835842)"
"['store', 'client']",[7.659537723087615],"(40.41101822870703, -79.91054922095948)","(40.42389118818471, -79.99921226335444)"
"['store', 'client']",[5.976453547385742],"(40.41101822870703, -79.91054922095948)","(40.44933301162337, -79.86108633598495)"
"['store', '14', '10', 'client']",[19.200455283087077],"(40.41101822870703, -79.91054922095948)","(40.4715292322575, -80.06798164690143)"
"['store', '6', '39', 'client']",[16.896119089405023],"(40.41101822870703, -79.91054922095948)","(40.54884249289592, -79.9823829989812)"
"['store', 'client']",[7.685927353482453],"(40.41101822870703, -79.91054922095948)","(40.47053240392026, -79.95680214820183)"
"['store', '11', 'client']",[16.20834409003392],"(40.41101822870703, -79.91054922095948)","(40.306642716063045, -79.89599103520239)"
"['store', 'client']",[8.597627259288862],"(40.41101822870703, -79.91054922095948)","(40.34006992695002, -79.87000988823799)"
"['store', 'client']",[7.215439437623106],"(40.41101822870703, -79.91054922095948)","(40.46446780286375, -79.95890926742376)"
"['store', 'client']",[9.705535977662109],"(40.41101822870703, -79.91054922095948)","(40.38190560197565, -80.0183413764227)"
"['store', 'client']",[0.5606283820747673],"(40.41101822870703, -79.91054922095948)","(40.40607170668047, -79.90922670191456)"
"['store', 'client']",[4.762581140500682],"(40.41101822870703, -79.91054922095948)","(40.45299900477084, -79.92204203548977)"
"['store', '56', '23', '5', '17', '57', '54', '48', 'client']",[56.60671864060986],"(40.41101822870703, -79.91054922095948)","(40.57942892796143, -80.21740843748759)"
"['store', '11', '12', 'client']",[19.9020320732873],"(40.41101822870703, -79.91054922095948)","(40.32781173759964, -79.85361654276238)"
"['store', '15', 'client']",[13.014584274883175],"(40.41101822870703, -79.91054922095948)","(40.501091798943726, -79.81330473847896)"
"['store', 'client']",[2.8107013260935756],"(40.41101822870703, -79.91054922095948)","(40.41263291427919, -79.87750231512666)"
"['store', '11', 'client']",[14.425123896029785],"(40.41101822870703, -79.91054922095948)","(40.35319113973284, -80.05586379785989)"
"['store', '6', 'client']",[11.601350744676612],"(40.41101822870703, -79.91054922095948)","(40.487217512905744, -80.00285226862333)"
"['store', 'client']",[2.2124482155727963],"(40.41101822870703, -79.91054922095948)","(40.428851503980816, -79.92217508611931)"
"['store', '56', 'client']",[10.906883020409744],"(40.41101822870703, -79.91054922095948)","(40.39571813232168, -80.03465159973231)"
"['store', 'client']",[6.6962068167525555],"(40.41101822870703, -79.91054922095948)","(40.42553839106348, -79.98712693201887)"
"['store', '56', '23', '5', '17', '57', '54', 'client']",[52.76886910263397],"(40.41101822870703, -79.91054922095948)","(40.52609396529757, -80.19123883974281)"
"['store', '56', '23', 'client']",[16.165008237631415],"(40.41101822870703, -79.91054922095948)","(40.36774218314642, -80.08108105302762)"
"['store', '6', '4', '40', 'client']",[30.488753561832333],"(40.41101822870703, -79.91054922095948)","(40.61121602495564, -80.03671969334536)"
"['store', 'client']",[3.8310482715177394],"(40.41101822870703, -79.91054922095948)","(40.442838208412326, -79.89310170278759)"
"['store', 'client']",[6.719713372511997],"(40.41101822870703, -79.91054922095948)","(40.460117502325616, -79.95684277579484)"
"['store', 'client']",[4.984694128339798],"(40.41101822870703, -79.91054922095948)","(40.44832940982521, -79.87788736689943)"
"['store', 'client']",[6.589327163927272],"(40.41101822870703, -79.91054922095948)","(40.41595288840418, -79.9879145638282)"
"['store', 'client']",[8.49965382315419],"(40.41101822870703, -79.91054922095948)","(40.48277230576576, -79.94543390196867)"
"['store', 'client']",[5.84993342265049],"(40.41101822870703, -79.91054922095948)","(40.45266670160457, -79.95276728854779)"
"['store', 'client']",[6.975230485686364],"(40.41101822870703, -79.91054922095948)","(40.46532030341258, -79.95187555458277)"
"['store', '15', 'client']",[15.281849186700406],"(40.41101822870703, -79.91054922095948)","(40.44061532424795, -79.78472680071972)"
"['store', '56', '23', '5', '17', '57', '54', 'client']",[52.04736646265194],"(40.41101822870703, -79.91054922095948)","(40.531432293354285, -80.21049603013459)"
"['store', 'client']",[7.091480028066552],"(40.41101822870703, -79.91054922095948)","(40.47206040491571, -79.93511411395228)"
"['store', '56', '23', 'client']",[18.954602325779547],"(40.41101822870703, -79.91054922095948)","(40.35627381644037, -80.1123868911519)"
"['store', 'client']",[9.440490691986524],"(40.41101822870703, -79.91054922095948)","(40.39629771033432, -80.0200794387895)"
"['store', 'client']",[8.908263063297152],"(40.41101822870703, -79.91054922095948)","(40.39094363874186, -79.80895156008924)"
"['store', '6', '39', 'client']",[14.340222681616655],"(40.41101822870703, -79.91054922095948)","(40.51927700455749, -79.99866419206099)"
"['store', '14', 'client']",[13.457894871637713],"(40.41101822870703, -79.91054922095948)","(40.45367959814014, -80.05557963181012)"
"['store', 'client']",[4.6972591258923195],"(40.41101822870703, -79.91054922095948)","(40.45234040471378, -79.92239053745884)"
"['store', '6', '39', 'client']",[20.644617077910866],"(40.41101822870703, -79.91054922095948)","(40.51375605612533, -80.07589705450555)"
"['store', 'client']",[7.281978832401255],"(40.41101822870703, -79.91054922095948)","(40.42318208886573, -79.99485985623356)"
"['store', '11', 'client']",[13.667699139636106],"(40.41101822870703, -79.91054922095948)","(40.3526152271609, -80.04650026644214)"
"['store', '15', 'client']",[18.37257506803019],"(40.41101822870703, -79.91054922095948)","(40.442238433693255, -79.74310693986274)"
"['store', '11', '12', 'client']",[17.06331472178597],"(40.41101822870703, -79.91054922095948)","(40.30341122181082, -79.8870684040033)"
"['store', 'client']",[4.153135451280047],"(40.41101822870703, -79.91054922095948)","(40.399580219784944, -79.86396769840961)"
"['store', 'client']",[4.221881926636974],"(40.41101822870703, -79.91054922095948)","(40.44645180374939, -79.92858696094937)"
"['store', 'client']",[1.0335678297625068],"(40.41101822870703, -79.91054922095948)","(40.40307280460753, -79.91689162671659)"
"['store', '6', '39', 'client']",[19.67084651549849],"(40.41101822870703, -79.91054922095948)","(40.49932733965645, -80.06280685016677)"
"['store', '56', '23', '5', '17', '57', '54', 'client']",[53.65990936035686],"(40.41101822870703, -79.91054922095948)","(40.51464143761607, -80.16856602463736)"
"['store', 'client']",[6.604074620417323],"(40.41101822870703, -79.91054922095948)","(40.37080952885788, -79.85323699918983)"
"['store', 'client']",[7.079343446504498],"(40.41101822870703, -79.91054922095948)","(40.4198902882976, -79.99314756312637)"
"['store', 'client']",[4.581655862229809],"(40.41101822870703, -79.91054922095948)","(40.45040430418039, -79.92663744889906)"
"['store', '56', '23', 'client']",[17.6257880065777],"(40.41101822870703, -79.91054922095948)","(40.394199212772655, -80.08815432030936)"
"['store', 'client']",[6.983688332852928],"(40.41101822870703, -79.91054922095948)","(40.39819758283685, -79.9910914278192)"
"['store', '6', '39', 'client']",[19.268725279969786],"(40.41101822870703, -79.91054922095948)","(40.52647521072189, -80.057224798159)"
"['store', 'client']",[3.030430400190335],"(40.41101822870703, -79.91054922095948)","(40.4294769109609, -79.8842485060565)"
"['store', 'client']",[9.85486662229512],"(40.41101822870703, -79.91054922095948)","(40.39613421777632, -80.02499615927877)"
"['store', 'client']",[6.677123742185898],"(40.41101822870703, -79.91054922095948)","(40.46974410506736, -79.92746270832559)"
"['store', 'client']",[9.089524598734387],"(40.41101822870703, -79.91054922095948)","(40.4579941132781, -79.82282116445741)"
