route,distance,store,client
"['store', '6', '39', 'client']",[21.76053108687952],"(40.41101822870703, -79.91054922095948)","(40.5121649835296, -80.08909991774554)"
"['store', '6', 'client']",[12.002845040368237],"(40.41101822870703, -79.91054922095948)","(40.508182000644666, -79.8890582369502)"
"['store', 'client']",[5.268406413727296],"(40.41101822870703, -79.91054922095948)","(40.443489699920775, -79.95581481785284)"
"['store', '6', '39', 'client']",[18.948089974542214],"(40.41101822870703, -79.91054922095948)","(40.49843632069507, -80.0538074042759)"
"['store', 'client']",[9.819343449286437],"(40.41101822870703, -79.91054922095948)","(40.32561862336578, -79.88054584574556)"
"['store', 'client']",[3.8112676390786473],"(40.41101822870703, -79.91054922095948)","(40.43107251260662, -79.87410378289101)"
"['store', '56', '23', '5', '17', '57', '54', 'client']",[53.03828993405334],"(40.41101822870703, -79.91054922095948)","(40.552299803797496, -80.23554562812055)"
"['store', 'client']",[6.893512265537356],"(40.41101822870703, -79.91054922095948)","(40.46448640330208, -79.95183295665646)"
"['store', 'client']",[3.428380824983508],"(40.41101822870703, -79.91054922095948)","(40.38242881182485, -79.89530250691897)"
"['store', 'client']",[9.295624255475504],"(40.41101822870703, -79.91054922095948)","(40.34629797396607, -79.97997675564673)"
"['store', 'client']",[7.4728351574960685],"(40.41101822870703, -79.91054922095948)","(40.443833495751626, -79.98743207531831)"
"['store', 'client']",[8.346376870402018],"(40.41101822870703, -79.91054922095948)","(40.45419999808895, -79.99105974891364)"
"['store', 'client']",[2.095573257971243],"(40.41101822870703, -79.91054922095948)","(40.42331071002647, -79.89181463163361)"
"['store', '14', 'client']",[13.725387249610613],"(40.41101822870703, -79.91054922095948)","(40.4526105054544, -80.0599583555386)"
"['store', '11', '12', 'client']",[24.08367427490831],"(40.41101822870703, -79.91054922095948)","(40.323306968383285, -79.79967834326936)"
"['store', 'client']",[8.356333394105876],"(40.41101822870703, -79.91054922095948)","(40.37431957431242, -79.9964750200237)"
"['store', 'client']",[6.458539524192746],"(40.41101822870703, -79.91054922095948)","(40.461979603285386, -79.94723615593539)"
